Model,RMSE,MAE,MAPE
SARIMA,1.7047959343420418,1.606630420185124,9.460473435087792
Prophet,2.110999504001254,2.0008637563003178,11.69679515226063
XGBoost,2.0687394942136423,1.353604833039182,8.033654101123847
LSTM,1.111707485212276,0.882845122576569,5.222448329123638
Ensemble,1.0969627752783995,0.9803098643814081,5.751102661371857
